date,GDP,UNRATE,CPI,PCE,FEDFUNDS
2010-01-01,100.5,9.8,217.5,100.0,0.11
2010-02-01,101.2,9.7,217.8,100.3,0.12
2010-03-01,101.8,9.9,218.1,100.6,0.14
2010-04-01,102.3,9.8,218.5,100.9,0.15
2010-05-01,102.9,9.6,218.9,101.2,0.16
2010-06-01,103.4,9.5,219.2,101.5,0.17
2010-07-01,103.8,9.5,219.6,101.8,0.18
2010-08-01,104.2,9.6,220.0,102.1,0.19
2010-09-01,104.7,9.6,220.3,102.4,0.20
2010-10-01,105.1,9.5,220.7,102.7,0.21
2010-11-01,105.6,9.8,221.1,103.0,0.22
2010-12-01,106.0,9.4,221.5,103.3,0.23
2011-01-01,106.5,9.1,221.9,103.6,0.24
2011-02-01,107.0,9.0,222.3,103.9,0.25
2011-03-01,107.4,9.0,222.7,104.2,0.26
2011-04-01,107.9,9.1,223.1,104.5,0.27
2011-05-01,108.3,9.1,223.5,104.8,0.28
2011-06-01,108.8,9.2,223.9,105.1,0.29
2011-07-01,109.2,9.1,224.3,105.4,0.30
2011-08-01,109.7,9.1,224.7,105.7,0.31
2011-09-01,110.1,9.1,225.1,106.0,0.32
2011-10-01,110.6,8.9,225.5,106.3,0.33
2011-11-01,111.0,8.7,225.9,106.6,0.34
2011-12-01,111.5,8.5,226.3,106.9,0.35
2012-01-01,111.9,8.3,226.7,107.2,0.36
2012-02-01,112.4,8.3,227.1,107.5,0.37
2012-03-01,112.8,8.2,227.5,107.8,0.38
2012-04-01,113.3,8.1,227.9,108.1,0.39
2012-05-01,113.7,8.2,228.3,108.4,0.40
2012-06-01,114.2,8.2,228.7,108.7,0.41
2012-07-01,114.6,8.3,229.1,109.0,0.42
2012-08-01,115.1,8.1,229.5,109.3,0.43
2012-09-01,115.5,7.8,229.9,109.6,0.44
2012-10-01,116.0,7.9,230.3,109.9,0.45
2012-11-01,116.4,7.7,230.7,110.2,0.46
2012-12-01,116.9,7.8,231.1,110.5,0.47
2013-01-01,117.3,7.9,231.5,110.8,0.48
2013-02-01,117.8,7.7,231.9,111.1,0.49
2013-03-01,118.2,7.6,232.3,111.4,0.50
2013-04-01,118.7,7.5,232.7,111.7,0.51
2013-05-01,119.1,7.6,233.1,112.0,0.52
2013-06-01,119.6,7.6,233.5,112.3,0.53
2013-07-01,120.0,7.4,233.9,112.6,0.54
2013-08-01,120.5,7.3,234.3,112.9,0.55
2013-09-01,120.9,7.3,234.7,113.2,0.56
2013-10-01,121.4,7.3,235.1,113.5,0.57
2013-11-01,121.8,7.0,235.5,113.8,0.58
2013-12-01,122.3,6.7,235.9,114.1,0.59
2014-01-01,122.7,6.6,236.3,114.4,0.60
2014-02-01,123.2,6.7,236.7,114.7,0.61
